"Name","Id","WorkingSet","StartTime","RunTime"
"TextInputHost","5716","95911936","4/20/2022 8:20:29 AM","06:38:01.9053097"
"UsbClientService","5768","7434240","4/20/2022 8:19:29 AM","06:39:01.1362206"
"UserOOBEBroker","6632","9150464","4/20/2022 8:23:59 AM","06:34:31.2203251"
"vmcompute","5896","12259328","4/20/2022 8:19:29 AM","06:39:01.1324188"
"vmmem","11300","0","4/20/2022 8:19:58 AM","06:38:32.5259634"
"vmmem","11436","0","4/20/2022 8:19:58 AM","06:38:32.2600567"
"vmmem","11556","0","4/20/2022 8:19:58 AM","06:38:32.1120389"
"vmmem","11668","0","4/20/2022 8:19:59 AM","06:38:31.9223150"
"vmmem","11824","0","4/20/2022 8:19:59 AM","06:38:31.3117089"
"vmmemCmZygote","6656","0","4/20/2022 8:21:21 AM","06:37:09.9166967"
"vmms","3128","25804800","4/20/2022 8:19:29 AM","06:39:01.7380299"
"vmwp","10972","16310272","4/20/2022 8:19:58 AM","06:38:32.6085656"
"vmwp","11404","16461824","4/20/2022 8:19:58 AM","06:38:32.2948797"
"vmwp","11524","16121856","4/20/2022 8:19:58 AM","06:38:32.1648388"
"vmwp","11636","16252928","4/20/2022 8:19:59 AM","06:38:31.9991755"
"vmwp","11788","16080896","4/20/2022 8:19:59 AM","06:38:31.4264098"
"WindowsTerminal","25108","84602880","4/20/2022 8:21:27 AM","06:37:03.9943309"
"wininit","1268","6045696","4/20/2022 8:19:28 AM","06:39:02.5838668"
"winlogon","1768","11821056","4/20/2022 8:19:28 AM","06:39:02.0195727"
"wlanext","8008","8491008","4/20/2022 8:19:56 AM","06:38:34.7378351"
"WmiPrvSE","9572","9236480","4/20/2022 8:19:31 AM","06:38:59.0701490"
"WMIRegistrationService","5840","13991936","4/20/2022 8:19:29 AM","06:39:01.1373680"
"wslservice","28588","12034048","4/20/2022 9:14:15 AM","05:44:15.1831149"
"WUDFHost","1708","5414912","4/20/2022 8:19:28 AM","06:39:02.0491753"
"WUDFHost","1828","18939904","4/20/2022 8:19:29 AM","06:39:01.9947934"
"WUDFHost","2092","5718016","4/20/2022 8:19:29 AM","06:39:01.8730863"
"YourPhone","17660","101928960","4/20/2022 8:20:19 AM","06:38:11.0980583"
"YourPhoneServer","6152","110772224","4/20/2022 8:20:23 AM","06:38:07.8041580"
